Content,Theme,code,User name,Sentiment
Nguyễn Viết Nhiên bạn có thể tham khảo và so sánh nhé.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Trường hợp của bạn NV CSKH Karofi đã xử lý qua kênh Chat trên website Karofi.com. Cảm ơn bạn.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Sang tuần sẽ có kết quả của cuộc thi, Karofi sẽ gọi điện trực tiếp cho những KH trúng thưởng bạn nhé!",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Karofi cám ơn bạn và gia đình đã tin tưởng và sử dụng sản phẩm của Karofi. Chúc gia đình buổi tối vui vẻ nhé!,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Bạn để lại thông tin SĐT, NV CSKH Karofi sẽ LH lại cho bạn nhé",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Cần hỗ trợ thêm thông tin bạn vui lòng liên hệ lại hoặc gọi điện theo số Hotline CSKH 19006418. Karofi luôn sẵn lòng hỗ trợ bạn!,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Chào bạn. Cảm ơn bạn đã tin tưởng và lựa chọn Karofi đồng hành cùng gia đình :)!,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn, bạn cần Karofi hỗ trợ thông tin gì ạ?",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn, bạn có nhu cầu mua máy lọc nước Karofi đúng không ạ? Bạn cho Karofi xin lại thông tin SĐT, Địa chỉ, Họ tên, Karofi sẽ liên hệ cho bạn nhé.",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn, bạn đã lắp đặt máy lâu chưa ạ?",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Bạn có thể tham khảo tem chính hãng của Karofi theo hình ảnh sau nhé:,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn, bạn cần Karofi hỗ trợ thông tin gì không ạ?",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Karofi ghi nhận đóng góp của bạn. Karofi luôn luôn không ngừng ngiên cứu và phát triển , nhằm tạo ra những sản phẩm tốt nhât đến tay khách hàng. Cảm ơn bạn",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Vinh Le Cảm ơn bạn cung cấp thông tin. Nhân viên CSKH Karofi liên hệ lại với bạn vào ngày mai ak!,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Bạn cho Karofi hỏi bạn đã tiến hành sục rửa bình áp chưa vậy bạn?,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn, bạn cần Karofi hỗ trợ tư vấn thông tin gì ạ?",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
bạn vui lòng để lại SĐT và địa chỉ cụ thể nhân viên  karofi sẽ gọi lại tư vấn cho bạn nhé,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"bạn cho mình biết sdt và địa chỉ, Karofi sẽ liên hệ tới bạn ngay",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Về chính sách quảng cáo, PR cho đại lý. Bạn vui lòng liên hệ tới kinh doanh khu vực bạn nhé. Cảm ơn bạn",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Chào bạn. Karofi có thể giúp gì cho bạn ạ,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn. Karofi cảm ơn bạn đã tin dùng sản phẩm của Karofi. Mỗi dòng sản phẩm thông minh sẽ có tín hiệu báo khác nhau. Để được hỗ trợ thông tin tốt nhất, bạn vui lòng liên hệ tổng đài chăm sóc khách hàng của Karofi, Hotline 19006418 bạn nhé",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
cảm ơn bạn đã tin tưởng karofi,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
cảm ơn bạn  đã tin tưởng sp Karofi,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Chào bạn, cảm ơn bạn đã tin tưởng sử dụng sản phẩm Karofi - Máy lọc nước thông minh",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Thu Huyen Hoang karofi sẽ liên hệ hỗ trợ bạn,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"chào bạn, cảm ơn bạn đã tin dùng sản phẩm Karofi",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Bạn cho Karofi xin sđt của bạn nhé.Ngày mai bộ phận CSKH Karofi sẽ liên hệ lại để hỗ trợ cho bạn nhé.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Chào bạn. Bạn cho hỏi máy của bạn chạy có tiếng kêu như thế nào vậy.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Cảm ơn bạn đã cung cấp thông tin,ngày mai bộ phận bán hàng sẽ liên hệ lại để hỗ trợ trực tiếp cho bạn.",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Ngày mai nhân viên CSKH Karofi sẽ liên hệ lại và hỗ trợ cho bạn nhé.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Chào bạn. Cảm ơn bạn đã quan tâm đến sản phẩm của Karofi. Bạn vui lòng để lại sđt ngày mai Karofi sẽ liên hệ lại với bạn để cung cấp thông tin.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Chào bạn.Cảm ơn bạn đã quan tâm đế sản phẩm của Karofi. Để cung cấp thông tin cụ thể hơn bạn có thể cho Karofi xin lại sđt của bạn được không.,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
Chào bạn. Karofi có thể giúp gì cho bạn?,khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
"Bạn để lại SĐT, NV CSKH Karofi sẽ LH lại để hỗ trợ bạn thông tin này nhé",khác,Cám ơn và/hoặc trả lời thông tin chung,Karofi - Máy lọc nước thông minh,Neutral
